Dataset,MV,PM,GLAD,DS,EBCC,BWA,TiReMGE,GOVERN,CrowdFM,GCRN
Temp,93.29002,94.28568,93.29,94.1558,94.1558,93.9394,93.9394,94.11255411255412,94.19912,94.50216450216452
RTE,90.1,92.125,92.5,92.75,92.875,92.75,90.8,92.975,91.525,93.175
Face,63.527420000000006,59.76030000000001,63.01369999999999,64.0411,62.70548,61.81510000000001,63.184940000000005,66.13014000000001,64.14382,67.02054794520546
LabelMe,76.38,73.76,77.1,79.4,78.6,77.4,76.2,77.9,77.12,78.5
MS,71.1143,79.51428,78.5714,76.5714,78.8,78.5714,71.4857,76.42858,79.8,77.34285714285713
CF*,85.46668,85.6667,85.6667,85.6667,85.86668,86.0,84.60002,85.13332,85.86668,86.39999999999998
Bird,75.9259,78.7037,76.8519,87.963,87.59259999999999,75.9259,55.555600000000005,84.81482,79.62966,88.51851851851852
Possent,93.3,95.08,95.2,96.0,96.0,95.6,93.74,95.82000000000001,95.08,96.26
CF,88.26668,88.53334,88.0,79.6667,87.73332,89.3333,87.86668,89.93334,88.06666,89.59999999999998
