metric,friedman_chi_square_8block,friedman_p_8block,critical_difference_8block,gcrn_average_rank_8block,friedman_chi_square_9block,friedman_p_9block,critical_difference_9block,gcrn_average_rank_9block,friedman_chi_square_delta_8_minus_9,gcrn_rank_delta_8_minus_9
Accuracy,32.97715156130999,0.0001347808404210867,4.789263851159032,1.875,35.193482688391065,5.507783259659904e-05,4.51536126139487,1.8888888888888888,-2.2163311270810766,-0.01388888888888884
Macro-F1,20.46322971948445,0.015259224930169115,4.789263851159032,3.0,19.867924528301906,0.01874521501243312,4.51536126139487,3.2222222222222223,0.5953051911825433,-0.22222222222222232
Weighted-F1,30.95754359363154,0.0003010372854721093,4.789263851159032,2.0,31.69407008086255,0.00022488231395728468,4.51536126139487,2.111111111111111,-0.7365264872310071,-0.11111111111111116
